Tuition fees up to date,Age at enrollment,Mother's qualification,Curricular units 1st sem (enrolled),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (grade),target
1,19,38,6,0,14.85714286,Graduate
1,18,1,6,0,11.2,Enrolled
1,20,3,0,0,0.0,Graduate
1,37,37,9,0,11.57142857,Graduate
1,27,37,5,2,12.0,Graduate
1,19,38,6,0,13.2,Graduate
1,22,1,5,0,13.0,Graduate
1,22,2,6,0,12.5,Dropout
1,20,1,6,0,11.75,Graduate
1,19,38,5,1,13.33333333,Graduate
1,18,38,8,0,12.77125,Graduate
1,28,1,7,0,12.3,Enrolled
1,25,3,14,1,13.29166667,Graduate
1,20,1,6,0,12.66666667,Graduate
1,23,19,5,1,11.33333333,Dropout
1,24,1,11,6,12.55555556,Graduate
1,34,1,5,0,14.6,Enrolled
1,27,19,5,0,0.0,Dropout
1,20,19,6,0,0.0,Dropout
1,20,1,2,0,12.83333333,Graduate
1,23,37,9,0,11.7,Graduate
1,19,5,7,0,13.55,Graduate
1,19,19,0,0,0.0,Dropout
1,19,19,6,0,14.6,Graduate
0,19,1,6,0,11.75,Dropout
1,20,19,6,0,15.33333333,Graduate
1,20,19,6,0,12.2,Dropout
1,20,34,6,0,0.0,Dropout
1,24,19,5,0,14.0,Enrolled
1,18,1,7,0,15.075,Graduate
1,18,19,6,0,12.0,Enrolled
0,27,37,0,0,0.0,Dropout
1,20,10,5,0,0.0,Dropout
1,18,37,6,0,11.66666667,Graduate
0,19,1,6,0,10.0,Dropout
1,21,19,5,0,11.4,Graduate
1,19,1,0,0,0.0,Dropout
1,29,1,7,0,11.0,Dropout
1,23,19,8,0,13.22,Graduate
1,18,38,7,0,13.91,Graduate
1,19,37,6,0,14.0,Graduate
1,18,38,6,0,15.5,Graduate
1,19,1,6,0,12.33333333,Graduate
1,20,1,7,0,12.12857143,Graduate
1,40,37,6,0,15.0,Dropout
1,20,19,6,0,10.0,Enrolled
1,19,1,7,0,0.0,Dropout
1,20,1,6,0,12.5,Enrolled
1,27,37,6,0,12.0,Enrolled
1,26,37,5,0,15.6,Graduate
0,32,19,5,0,15.0,Dropout
0,39,37,7,0,10.5,Dropout
1,21,1,5,1,11.25,Graduate
1,20,37,6,0,10.6,Graduate
0,19,37,6,0,0.0,Dropout
1,20,3,7,0,15.0125,Graduate
1,21,38,5,0,0.0,Dropout
1,37,34,6,0,0.0,Dropout
0,28,37,6,0,0.0,Dropout
1,36,1,6,0,16.5,Graduate
0,22,3,5,0,14.0,Enrolled
1,19,38,5,0,11.6,Enrolled
1,33,37,10,0,10.44444444,Enrolled
1,19,3,5,0,12.83333333,Graduate
1,18,3,6,0,11.0,Dropout
1,18,37,6,0,14.28571429,Graduate
0,19,1,6,0,13.125,Dropout
1,18,4,6,0,14.85714286,Graduate
1,19,3,6,0,13.0,Graduate
1,18,2,6,0,13.83333333,Graduate
1,18,37,5,0,11.0,Enrolled
0,20,38,6,0,11.66666667,Dropout
1,21,1,6,0,12.0,Graduate
1,29,6,5,4,0.0,Dropout
1,22,19,6,0,12.5,Graduate
1,19,1,6,0,10.75,Graduate
1,18,19,8,0,13.41428571,Dropout
1,19,19,7,0,15.092,Graduate
1,35,37,5,0,11.85714286,Enrolled
0,23,1,5,0,0.0,Dropout
1,39,37,5,0,12.5,Dropout
1,24,1,5,0,11.0,Enrolled
1,19,1,5,2,13.8,Enrolled
1,18,38,6,0,12.16666667,Graduate
1,24,3,8,0,13.385,Graduate
1,24,1,5,0,0.0,Dropout
1,24,38,10,0,12.55555556,Enrolled
1,24,19,6,0,12.83333333,Graduate
1,32,19,14,0,12.8,Graduate
1,18,1,6,1,11.0,Enrolled
1,23,37,6,0,12.8,Graduate
1,19,19,6,0,13.0,Dropout
1,18,1,6,0,12.5,Enrolled
1,18,1,7,0,13.8875,Graduate
1,26,3,8,0,12.28571429,Graduate
1,22,37,5,0,12.0,Enrolled
1,20,19,5,0,11.6,Dropout
1,18,1,6,0,15.0,Graduate
1,19,1,8,0,12.86,Graduate
1,41,37,5,1,13.0,Enrolled
0,47,37,7,7,0.0,Dropout
1,50,37,11,0,13.57142857,Graduate
1,19,19,8,0,13.15142857,Graduate
1,19,1,6,0,11.77777778,Graduate
1,19,40,12,0,13.58333333,Graduate
